2025-07-24 00:05:34.915 [http-nio-8080-exec-1] INFO  [85e847fa] AUDIT - AUDIT_REQUEST [85e847fa] GET /api/products/2 | IP: 0:0:0:0:0:0:0:1 | UserAgent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 | Referer: http://localhost:5173/
2025-07-24 00:05:34.918 [http-nio-8080-exec-1] INFO  [85e847fa] com.lulu.logging.AuditLoggingFilter - RESPONSE [85e847fa] GET /api/products/2 responded 200 in 3 ms
2025-07-24 00:05:34.918 [http-nio-8080-exec-1] INFO  [85e847fa] AUDIT - AUDIT_RESPONSE [85e847fa] GET /api/products/2 | Status: 200 | Duration: 3 ms
2025-07-24 00:05:34.925 [http-nio-8080-exec-8] INFO  [0828b7be] com.lulu.logging.AuditLoggingFilter - REQUEST [0828b7be] GET /api/reviews/product/2
2025-07-24 00:05:34.926 [http-nio-8080-exec-8] WARN  [0828b7be] com.lulu.logging.AuditLoggingFilter - ERROR_RESPONSE [0828b7be] GET /api/reviews/product/2 responded 404 in 1 ms
2025-07-24 00:05:35.262 [http-nio-8080-exec-4] INFO  [3e7727da] com.lulu.logging.AuditLoggingFilter - REQUEST [3e7727da] GET /api/reviews/product/1
2025-07-24 00:05:35.264 [http-nio-8080-exec-3] INFO  [2dcbb413] com.lulu.logging.AuditLoggingFilter - REQUEST [2dcbb413] GET /api/products/1
2025-07-24 00:05:35.264 [http-nio-8080-exec-3] INFO  [2dcbb413] AUDIT - AUDIT_REQUEST [2dcbb413] GET /api/products/1 | IP: 0:0:0:0:0:0:0:1 | UserAgent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 | Referer: http://localhost:5173/
2025-07-24 00:05:35.266 [http-nio-8080-exec-4] WARN  [3e7727da] com.lulu.logging.AuditLoggingFilter - ERROR_RESPONSE [3e7727da] GET /api/reviews/product/1 responded 404 in 4 ms
2025-07-24 00:05:35.270 [http-nio-8080-exec-3] INFO  [2dcbb413] com.lulu.logging.AuditLoggingFilter - RESPONSE [2dcbb413] GET /api/products/1 responded 200 in 6 ms
2025-07-24 00:05:35.270 [http-nio-8080-exec-3] INFO  [2dcbb413] AUDIT - AUDIT_RESPONSE [2dcbb413] GET /api/products/1 | Status: 200 | Duration: 6 ms
2025-07-24 00:05:38.901 [http-nio-8080-exec-5] INFO  [b456b5be] com.lulu.logging.AuditLoggingFilter - REQUEST [b456b5be] GET /api/category
2025-07-24 00:05:38.903 [http-nio-8080-exec-2] INFO  [f494f4fc] com.lulu.logging.AuditLoggingFilter - REQUEST [f494f4fc] GET /api/products
2025-07-24 00:05:38.905 [http-nio-8080-exec-5] INFO  [b456b5be] com.lulu.logging.AuditLoggingFilter - RESPONSE [b456b5be] GET /api/category responded 200 in 4 ms
2025-07-24 00:05:38.907 [http-nio-8080-exec-7] INFO  [add95ef0] com.lulu.logging.AuditLoggingFilter - REQUEST [add95ef0] GET /api/category
2025-07-24 00:05:38.910 [http-nio-8080-exec-7] INFO  [add95ef0] com.lulu.logging.AuditLoggingFilter - RESPONSE [add95ef0] GET /api/category responded 200 in 3 ms
2025-07-24 00:05:38.921 [http-nio-8080-exec-2] INFO  [f494f4fc] com.lulu.logging.AuditLoggingFilter - RESPONSE [f494f4fc] GET /api/products responded 200 in 18 ms
2025-07-24 00:05:38.922 [http-nio-8080-exec-10] INFO  [60c23d00] com.lulu.logging.AuditLoggingFilter - REQUEST [60c23d00] GET /api/products
2025-07-24 00:05:38.942 [http-nio-8080-exec-10] INFO  [60c23d00] com.lulu.logging.AuditLoggingFilter - RESPONSE [60c23d00] GET /api/products responded 200 in 20 ms
2025-07-24 00:05:42.757 [http-nio-8080-exec-8] INFO  [07290e83] com.lulu.logging.AuditLoggingFilter - REQUEST [07290e83] GET /api/products
2025-07-24 00:05:42.757 [http-nio-8080-exec-1] INFO  [38593e8d] com.lulu.logging.AuditLoggingFilter - REQUEST [38593e8d] GET /api/products/14
2025-07-24 00:05:42.757 [http-nio-8080-exec-1] INFO  [38593e8d] AUDIT - AUDIT_REQUEST [38593e8d] GET /api/products/14 | IP: 0:0:0:0:0:0:0:1 | UserAgent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 | Referer: http://localhost:5173/
2025-07-24 00:05:42.778 [http-nio-8080-exec-8] INFO  [07290e83] com.lulu.logging.AuditLoggingFilter - RESPONSE [07290e83] GET /api/products responded 200 in 21 ms
2025-07-24 00:05:42.791 [http-nio-8080-exec-1] INFO  [38593e8d] com.lulu.logging.AuditLoggingFilter - RESPONSE [38593e8d] GET /api/products/14 responded 200 in 34 ms
2025-07-24 00:05:42.791 [http-nio-8080-exec-1] INFO  [38593e8d] AUDIT - AUDIT_RESPONSE [38593e8d] GET /api/products/14 | Status: 200 | Duration: 34 ms
2025-07-24 00:05:42.856 [http-nio-8080-exec-9] INFO  [86d49bf0] com.lulu.logging.AuditLoggingFilter - REQUEST [86d49bf0] GET /api/products
2025-07-24 00:05:42.856 [http-nio-8080-exec-6] INFO  [feefbaa8] com.lulu.logging.AuditLoggingFilter - REQUEST [feefbaa8] GET /api/products/14
2025-07-24 00:05:42.856 [http-nio-8080-exec-6] INFO  [feefbaa8] AUDIT - AUDIT_REQUEST [feefbaa8] GET /api/products/14 | IP: 0:0:0:0:0:0:0:1 | UserAgent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 | Referer: http://localhost:5173/
2025-07-24 00:05:42.859 [http-nio-8080-exec-6] INFO  [feefbaa8] com.lulu.logging.AuditLoggingFilter - RESPONSE [feefbaa8] GET /api/products/14 responded 200 in 3 ms
